code,industry,pred
300065,科技,3
301583,科技,0
001248,公用事业,1
301042,科技,0
688797,科技,0
001399,科技,0
002842,周期资源,0
603435,科技,0
301669,科技,0
001237,制造,0
688981,科技,0
688347,科技,4
001365,制造,0
001393,公用事业,3
300860,消费,3
688235,消费,0
600400,消费,0
000928,公用事业,0
688635,科技,0
603407,周期资源,0
301531,周期资源,4
300817,制造,0
300152,公用事业,0
688216,科技,4
002863,制造,0
600166,制造,0
600085,消费,0
689009,制造,3
688820,科技,4
688819,科技,0
688816,制造,0
688811,周期资源,4
688805,消费,0
688802,科技,0
688793,制造,3
688789,制造,3
688776,科技,4
688772,科技,4
688750,周期资源,4
688737,制造,3
688733,科技,4
688728,科技,4
688721,科技,0
688711,科技,4
688710,消费,0
688709,科技,0
688699,科技,4
688696,制造,4
688693,科技,0
688681,公用事业,0
688679,公用事业,3
688678,科技,0
688671,公用事业,3
688667,制造,0
688665,制造,0
688658,消费,3
688651,科技,0
688630,制造,0
688627,制造,4
688625,周期资源,4
688622,制造,0
688618,科技,0
688615,科技,0
688611,公用事业,0
688608,科技,4
688605,科技,0
688601,科技,0
688599,科技,4
688595,科技,0
688590,科技,0
688586,科技,0
688585,周期资源,4
688584,科技,0
688579,科技,0
688576,消费,3
688573,科技,0
688570,制造,3
688567,科技,0
688562,科技,3
688561,科技,0
688559,制造,4
688558,制造,0
688557,制造,0
688556,科技,4
688529,制造,4
688521,科技,0
688520,消费,0
688518,制造,0
688511,科技,0
688505,消费,0
688502,科技,0
688500,科技,4
688499,科技,0
688489,科技,0
688488,消费,3
688484,科技,0
688478,科技,3
688458,科技,3
688443,消费,0
688439,科技,0
688426,消费,0
688418,科技,0
688410,消费,0
688409,科技,4
688408,科技,0
688403,科技,0
688401,科技,4
688399,消费,0
688391,科技,0
688386,周期资源,0
688385,科技,0
688379,制造,3
688375,科技,0
688371,科技,4
688360,制造,3
688357,周期资源,4
688353,科技,0
688351,消费,0
688348,科技,0
688343,科技,0
688339,科技,3
688333,制造,3
688330,公用事业,3
688325,科技,0
688323,周期资源,4
688321,消费,0
688319,消费,0
688318,科技,3
688317,消费,0
688316,科技,0
688307,科技,0
688306,制造,0
688305,制造,0
688303,科技,4
688293,消费,0
688289,消费,0
688286,科技,0
688282,科技,4
688275,科技,0
688272,科技,0
688265,消费,0
688261,科技,0
688257,制造,0
688256,科技,0
688248,公用事业,0
688247,消费,3
688239,科技,4
688237,科技,0
688236,消费,0
688223,科技,3
688220,科技,0
688219,周期资源,4
688218,制造,0
688213,科技,4
688212,消费,0
688211,制造,3
688206,科技,0
688202,消费,0
688192,消费,0
688190,周期资源,0
688189,消费,0
688188,科技,0
688182,科技,3
688176,消费,0
688173,科技,3
688171,科技,0
688166,消费,0
688165,制造,0
688161,消费,0
688159,科技,0
688155,科技,4
688152,科技,0
688150,科技,0
688141,科技,0
688139,消费,0
688133,周期资源,3
688131,消费,0
688129,周期资源,4
688127,科技,0
688126,科技,0
688116,科技,4
688110,科技,0
688106,科技,0
688092,制造,3
688079,科技,0
688076,消费,0
688075,消费,0
688073,消费,0
688071,制造,0
688070,科技,0
688066,科技,4
688065,周期资源,3
688061,科技,0
688057,公用事业,3
688053,科技,0
688051,科技,0
688037,科技,0
688033,制造,0
688032,科技,4
688031,科技,0
688026,消费,0
688025,制造,0
688022,制造,3
688021,制造,0
688020,科技,0
688016,消费,0
688009,制造,3
688007,科技,0
688006,科技,0
688005,科技,0
688001,制造,0
605588,科技,4
605566,周期资源,0
605499,消费,0
605399,周期资源,3
605366,周期资源,3
605303,公用事业,0
605288,制造,3
605287,公用事业,0
605286,制造,0
605259,制造,4
605198,消费,3
605189,制造,0
605177,消费,0
605158,周期资源,3
605155,制造,0
605128,制造,0
605123,科技,3
605122,周期资源,0
605117,科技,4
605108,消费,0
605081,公用事业,0
605077,周期资源,4
605069,公用事业,3
605068,制造,3
605056,制造,3
605050,公用事业,3
605033,周期资源,0
605016,周期资源,4
605008,周期资源,0
605006,周期资源,4
603997,制造,0
603989,科技,4
603988,制造,3
603986,科技,0
603983,消费,0
603980,周期资源,4
603978,周期资源,4
603968,周期资源,3
603959,公用事业,0
603955,公用事业,3
603950,制造,3
603929,公用事业,0
603927,科技,3
603918,科技,0
603917,制造,3
603912,制造,0
603906,科技,0
603903,公用事业,0
603900,消费,0
603898,制造,3
603887,科技,0
603885,公用事业,0
603880,消费,3
603879,周期资源,4
603876,周期资源,4
603863,制造,0
603860,公用事业,0
603859,科技,0
603843,公用事业,0
603833,制造,0
603829,公用事业,0
603828,公用事业,0
603825,消费,3
603823,周期资源,4
603822,周期资源,4
603818,制造,0
603816,制造,0
603815,公用事业,0
603813,公用事业,0
603809,制造,3
603808,消费,0
603801,制造,0
603800,制造,0
603789,制造,0
603778,科技,3
603759,公用事业,0
603738,科技,4
603733,制造,0
603730,制造,4
603729,消费,0
603726,制造,0
603721,消费,0
603718,消费,0
603717,公用事业,0
603712,科技,0
603711,消费,0
603707,消费,3
603699,制造,0
603698,制造,3
603696,消费,0
603690,科技,0
603689,公用事业,3
603687,制造,3
603667,制造,0
603666,制造,3
603665,消费,0
603661,制造,3
603637,公用事业,0
603636,科技,0
603628,科技,0
603619,周期资源,4
603602,消费,0
603598,消费,3
603580,周期资源,4
603577,公用事业,3
603569,公用事业,3
603567,消费,3
603565,公用事业,0
603557,消费,0
603556,公用事业,0
603535,公用事业,3
603533,消费,0
603528,科技,0
603520,消费,0
603507,科技,0
603506,金融地产,0
603501,科技,4
603500,制造,0
603499,制造,0
603429,制造,0
603409,制造,0
603398,科技,3
603393,公用事业,3
603391,制造,3
603389,制造,3
603387,消费,0
603385,制造,3
603381,科技,4
603378,周期资源,4
603377,消费,0
603368,消费,0
603359,公用事业,3
603358,制造,0
603357,公用事业,0
603356,制造,3
603352,制造,0
603350,制造,3
603344,制造,3
603339,制造,3
603336,消费,3
603333,公用事业,0
603326,制造,0
603324,公用事业,0
603323,金融地产,3
603321,制造,0
603316,公用事业,0
603315,公用事业,3
603296,科技,4
603290,科技,0
603286,制造,0
603280,制造,3
603278,制造,3
603271,周期资源,3
603266,制造,0
603260,周期资源,0
603258,消费,0
603237,消费,0
603235,周期资源,0
603232,科技,0
603231,消费,0
603222,消费,0
603215,制造,0
603212,科技,4
603211,制造,3
603210,制造,0
603195,制造,0
603192,周期资源,4
603191,公用事业,0
603190,制造,3
603189,科技,4
603188,周期资源,4
603179,制造,3
603177,公用事业,0
603175,科技,4
603169,制造,0
603168,消费,0
603167,公用事业,3
603166,制造,3
603165,制造,0
603163,公用事业,3
603161,制造,3
603159,制造,3
603158,制造,0
603130,制造,3
603128,公用事业,0
603127,消费,0
603119,制造,0
603117,公用事业,3
603113,周期资源,0
603098,公用事业,3
603078,科技,4
603070,公用事业,3
603059,消费,0
603057,消费,0
603055,制造,0
603052,科技,0
603051,周期资源,4
603048,制造,0
603045,周期资源,0
603039,科技,0
603030,公用事业,3
603027,消费,3
603023,制造,3
603022,制造,0
603021,制造,3
603018,公用事业,0
603014,消费,0
603010,周期资源,4
603008,制造,0
603007,制造,3
603000,消费,0
601998,金融地产,3
601995,金融地产,3
601992,周期资源,0
601988,金融地产,3
601985,公用事业,0
601952,消费,0
601939,金融地产,3
601928,消费,3
601919,公用事业,3
601916,金融地产,3
601901,金融地产,3
601888,消费,0
601882,制造,0
601881,金融地产,3
601869,科技,4
601868,公用事业,0
601866,公用事业,0
601857,周期资源,4
601827,公用事业,3
601818,金融地产,3
601816,公用事业,0
601811,消费,0
601800,公用事业,0
601799,制造,3
601788,金融地产,0
601766,制造,0
601727,科技,0
601717,制造,0
601700,公用事业,0
601698,科技,0
601696,金融地产,3
601689,制造,3
601688,金融地产,3
601678,周期资源,4
601669,公用事业,0
601666,周期资源,4
601658,金融地产,3
601628,金融地产,3
601618,公用事业,0
601607,消费,0
601588,金融地产,0
601528,金融地产,3
601515,制造,3
601512,金融地产,3
601500,制造,0
601398,金融地产,3
601390,公用事业,0
601377,金融地产,3
601375,金融地产,2
601369,制造,0
601360,科技,3
601336,金融地产,3
601333,公用事业,0
601328,金融地产,3
601319,金融地产,0
601298,公用事业,3
601288,金融地产,3
601279,制造,0
601238,制造,0
601236,金融地产,3
601222,公用事业,0
601198,金融地产,3
601188,公用事业,3
601187,金融地产,3
601186,公用事业,0
601166,金融地产,3
601162,金融地产,0
601156,公用事业,0
601155,金融地产,0
601127,制造,0
601126,公用事业,0
601112,周期资源,4
601111,公用事业,0
601107,公用事业,3
601106,制造,0
601099,金融地产,3
601086,消费,0
601083,公用事业,0
601069,周期资源,0
601066,金融地产,3
601059,金融地产,3
601021,公用事业,3
601019,消费,0
601016,公用事业,3
601007,消费,3
601006,公用事业,0
601005,周期资源,4
601003,周期资源,0
601002,制造,0
600999,金融地产,3
600996,消费,3
600992,制造,0
600986,消费,0
600984,制造,0
600982,公用事业,2
600977,消费,3
600973,公用事业,3
600965,消费,3
600962,消费,3
600960,制造,0
600959,消费,3
600958,金融地产,3
600939,公用事业,0
600935,周期资源,4
600933,制造,3
600918,金融地产,2
600908,金融地产,3
600906,金融地产,3
600905,公用事业,3
600900,公用事业,3
600897,公用事业,3
600892,消费,3
600887,消费,0
600886,公用事业,3
600885,公用事业,0
600884,科技,0
600883,消费,3
600876,周期资源,4
600875,科技,4
600868,公用事业,0
600866,周期资源,4
600865,消费,3
600860,制造,4
600859,消费,0
600857,消费,0
600855,科技,0
600850,科技,0
600847,科技,0
600846,公用事业,0
600844,周期资源,4
600843,制造,3
600834,公用事业,0
600833,消费,0
600831,消费,3
600827,消费,0
600826,消费,3
600825,消费,0
600822,制造,3
600821,公用事业,0
600820,公用事业,0
600814,消费,0
600810,周期资源,0
600809,消费,0
600807,消费,0
600805,公用事业,3
600803,公用事业,0
600801,周期资源,4
600800,周期资源,4
600797,科技,0
600793,制造,3
600787,公用事业,0
600783,制造,0
600779,消费,0
600775,科技,0
600773,金融地产,0
600765,科技,4
600764,科技,0
600756,科技,0
600755,公用事业,3
600754,消费,0
600751,公用事业,3
600748,金融地产,0
600745,科技,0
600743,消费,0
600739,消费,0
600735,消费,3
600730,消费,0
600728,科技,3
600727,周期资源,4
600722,周期资源,4
600720,公用事业,0
600716,金融地产,0
600715,消费,0
600713,消费,0
600707,科技,4
600706,消费,0
600697,消费,1
600692,金融地产,3
600691,周期资源,4
600689,公用事业,0
600688,周期资源,3
600685,科技,4
600684,金融地产,0
600683,金融地产,3
600682,公用事业,3
600678,周期资源,4
600676,制造,0
600671,消费,0
600658,金融地产,0
600651,制造,0
600650,公用事业,3
600649,金融地产,0
600648,金融地产,3
600643,金融地产,2
600641,科技,0
600639,金融地产,0
600637,消费,3
600635,公用事业,3
600629,公用事业,0
600628,消费,0
600626,制造,0
600624,消费,0
600622,金融地产,0
600620,公用事业,3
600619,制造,0
600617,公用事业,0
600616,消费,0
600611,公用事业,0
600609,制造,3
600597,消费,0
600589,科技,0
600587,消费,0
600586,周期资源,0
600585,周期资源,4
600582,制造,0
600580,制造,0
600577,公用事业,0
600576,消费,0
600571,科技,0
600570,科技,0
600569,周期资源,0
600568,消费,0
600567,制造,0
600563,科技,4
600557,消费,0
600552,科技,4
600551,消费,0
600547,周期资源,0
600543,消费,0
600540,消费,3
600533,金融地产,0
600528,公用事业,0
600527,制造,3
600526,公用事业,0
600521,消费,0
600518,消费,0
600517,金融地产,3
600516,周期资源,4
600505,公用事业,0
600498,科技,3
600491,公用事业,0
600482,科技,3
600481,科技,3
600478,科技,0
600477,公用事业,3
600469,制造,0
600461,公用事业,3
600460,科技,4
600459,周期资源,0
600458,制造,3
600448,制造,0
600438,科技,3
600436,消费,0
600425,周期资源,0
600423,周期资源,3
600420,消费,0
600416,制造,3
600406,公用事业,0
600405,科技,0
600403,周期资源,4
600398,消费,0
600396,公用事业,0
600392,周期资源,4
600390,金融地产,0
600386,制造,0
600383,金融地产,0
600382,周期资源,0
600381,消费,0
600378,周期资源,4
600377,公用事业,3
600376,金融地产,0
600373,消费,0
600370,周期资源,4
600363,科技,4
600359,消费,3
600358,消费,0
600356,制造,0
600354,消费,0
600353,科技,0
600350,公用事业,3
600345,科技,3
600343,制造,0
600340,金融地产,0
600337,制造,0
600331,周期资源,4
600329,消费,0
600328,周期资源,0
600325,金融地产,0
600322,金融地产,0
600313,消费,0
600308,制造,3
600305,消费,0
600303,制造,0
600302,制造,0
600300,消费,0
600299,周期资源,4
600295,周期资源,4
600292,公用事业,0
600288,科技,0
600284,公用事业,0
600281,周期资源,4
600272,消费,0
600271,科技,4
600266,金融地产,0
600261,制造,0
600252,消费,0
600248,公用事业,0
600246,金融地产,0
600238,消费,0
600232,制造,0
600231,周期资源,0
600230,周期资源,4
600229,消费,0
600222,消费,0
600221,公用事业,0
600218,制造,3
600215,制造,0
600212,科技,0
600208,金融地产,0
600192,公用事业,0
600191,消费,0
600187,公用事业,0
600177,消费,3
600172,制造,0
600170,公用事业,0
600165,周期资源,0
600163,公用事业,3
600162,金融地产,0
600161,消费,0
600159,金融地产,0
600155,金融地产,3
600152,科技,3
600150,科技,4
600149,公用事业,0
600138,消费,0
600137,消费,0
600132,消费,0
600130,科技,0
600129,消费,0
600127,消费,3
600125,公用事业,3
600120,金融地产,0
600117,周期资源,0
600115,公用事业,0
600113,消费,3
600108,消费,0
600107,消费,0
600104,制造,3
600103,制造,0
600098,公用事业,0
600089,公用事业,0
600084,消费,0
600081,制造,3
600079,消费,0
600076,制造,3
600075,周期资源,4
600072,科技,0
600071,科技,0
600067,公用事业,0
600061,金融地产,3
600057,公用事业,3
600054,消费,3
600053,金融地产,4
600039,公用事业,0
600035,公用事业,3
600033,公用事业,3
600031,制造,3
600029,公用事业,0
600020,公用事业,1
600019,周期资源,4
600018,公用事业,3
600016,金融地产,3
600015,金融地产,3
600009,公用事业,1
600008,公用事业,2
600007,金融地产,3
600004,公用事业,0
600000,金融地产,3
301487,科技,0
301238,科技,0
301152,科技,4
301087,消费,0
301076,周期资源,4
301030,公用事业,0
300999,消费,0
300866,科技,0
300813,制造,0
300761,消费,0
300716,周期资源,0
300560,科技,0
300534,消费,0
300430,制造,0
300417,制造,0
300396,消费,0
300352,科技,0
300227,制造,0
300167,科技,0
300076,科技,4
300029,公用事业,3
300010,消费,0
003027,公用事业,3
002999,周期资源,4
002989,公用事业,3
002981,科技,0
002959,制造,0
002949,公用事业,0
002939,金融地产,3
002938,科技,0
002933,科技,4
002929,科技,0
002925,科技,0
002907,消费,3
002905,消费,0
002901,消费,0
002898,消费,0
002895,周期资源,4
002886,周期资源,4
002884,制造,0
002883,公用事业,3
002881,科技,0
002878,消费,0
002873,消费,0
002866,科技,4
002840,消费,0
002839,金融地产,3
002828,周期资源,0
002824,周期资源,4
002822,金融地产,0
002816,制造,0
002808,科技,3
002785,周期资源,4
002779,制造,3
002763,消费,3
002747,制造,0
002743,公用事业,0
002738,周期资源,0
002737,消费,0
002736,金融地产,3
002732,消费,0
002725,制造,3
002723,制造,0
002721,消费,0
002692,公用事业,0
002682,公用事业,0
002678,消费,3
002677,制造,0
002671,周期资源,3
002667,制造,0
002666,周期资源,3
002663,公用事业,0
002660,科技,0
002656,消费,0
002647,金融地产,3
002645,公用事业,0
002644,消费,3
002631,制造,4
002630,科技,0
002629,周期资源,4
002628,公用事业,0
002626,消费,0
002616,公用事业,3
002609,科技,0
002605,消费,0
002602,消费,0
002600,科技,0
002599,制造,0
002597,周期资源,4
002596,周期资源,0
002595,制造,0
002591,周期资源,4
002583,科技,0
002573,公用事业,0
002572,制造,0
002569,消费,3
002564,制造,0
002559,制造,0
002553,制造,3
002545,周期资源,0
002537,制造,0
002533,公用事业,3
002531,科技,0
002530,制造,3
002514,制造,3
002513,周期资源,4
002510,制造,3
002494,消费,0
002491,科技,4
002489,制造,3
002486,消费,3
002471,公用事业,3
002470,周期资源,4
002467,科技,0
002462,消费,0
002460,周期资源,4
002454,制造,3
002453,周期资源,4
002452,公用事业,3
002442,周期资源,4
002428,周期资源,0
002423,金融地产,3
002421,科技,0
002403,制造,3
002401,科技,0
002399,消费,0
002386,周期资源,0
002374,制造,0
002371,科技,4
002368,科技,3
002365,消费,0
002349,消费,0
002347,制造,0
002345,消费,0
002343,消费,0
002340,科技,4
002329,消费,0
002316,科技,4
002310,公用事业,0
002284,制造,0
002279,科技,0
002277,消费,0
002276,公用事业,3
002269,消费,0
002263,周期资源,4
002249,制造,0
002242,制造,3
002240,周期资源,0
002238,消费,0
002235,制造,3
002221,周期资源,0
002218,公用事业,0
002214,科技,0
002212,科技,0
002209,制造,3
002203,周期资源,0
002198,消费,0
002188,金融地产,0
002184,制造,3
002181,消费,3
002180,科技,4
002178,科技,0
002173,消费,0
002172,消费,0
002170,周期资源,4
002168,公用事业,0
002166,周期资源,0
002159,消费,0
002156,科技,4
002138,科技,4
002135,公用事业,3
002133,金融地产,0
002125,科技,0
002114,周期资源,4
002109,周期资源,4
002103,消费,3
002097,制造,0
002096,周期资源,4
002094,制造,3
002082,消费,0
002076,制造,3
002073,制造,3
002068,周期资源,4
002065,科技,4
002062,公用事业,0
002060,公用事业,0
002054,周期资源,0
002052,制造,0
002050,制造,0
002044,消费,0
002031,制造,0
002025,科技,0
002021,制造,3
002010,公用事业,0
002006,制造,0
001979,金融地产,0
001896,公用事业,0
001872,公用事业,3
001389,科技,0
001380,制造,0
001330,消费,0
001325,周期资源,0
001324,制造,3
001316,周期资源,4
001311,制造,3
001309,科技,0
001308,科技,0
001289,公用事业,3
001278,制造,3
001228,公用事业,3
001226,制造,3
001225,制造,3
001219,消费,0
001218,周期资源,4
001202,公用事业,0
000993,公用事业,3
000987,金融地产,3
000981,制造,0
000978,消费,0
000977,科技,4
000951,制造,0
000949,周期资源,0
000932,周期资源,4
000912,周期资源,3
000905,公用事业,3
000898,周期资源,4
000892,消费,0
000890,公用事业,0
000889,科技,3
000880,制造,0
000876,消费,0
000859,周期资源,4
000858,消费,0
000838,金融地产,0
000837,制造,0
000811,制造,0
000800,制造,0
000793,消费,0
000792,周期资源,0
000791,公用事业,3
000790,消费,0
000783,金融地产,3
000782,周期资源,3
000759,消费,0
000750,金融地产,3
000737,周期资源,4
000726,制造,3
000725,科技,0
000722,公用事业,0
000718,金融地产,2
000713,消费,0
000710,消费,0
000700,制造,3
000691,周期资源,3
000685,公用事业,3
000681,消费,0
000680,制造,0
000679,消费,3
000678,制造,0
000677,周期资源,4
000669,公用事业,4
000628,公用事业,0
000626,公用事业,2
000623,消费,3
000609,金融地产,3
000607,消费,0
000576,科技,0
000573,金融地产,3
000571,周期资源,3
000561,科技,0
000560,金融地产,3
000553,周期资源,0
000547,科技,0
000546,公用事业,0
000543,公用事业,0
000539,公用事业,3
000538,消费,0
000533,公用事业,0
000531,公用事业,0
000510,周期资源,0
000509,科技,0
000507,公用事业,2
000505,消费,1
000501,消费,0
000498,公用事业,0
000488,制造,0
000429,公用事业,0
000426,周期资源,0
000419,消费,0
000401,周期资源,4
000338,制造,3
000333,制造,3
000166,金融地产,3
000158,科技,0
000155,公用事业,0
000100,科技,0
000078,消费,0
000069,金融地产,0
000060,周期资源,0
000050,科技,0
000048,消费,0
000045,科技,0
000042,金融地产,0
000036,金融地产,0
000031,金融地产,0
000029,金融地产,3
000028,消费,0
000027,公用事业,2
000014,金融地产,3
000009,公用事业,0
000008,制造,0
000006,金融地产,0
000002,金融地产,0
688818,科技,4
688813,制造,3
688808,制造,0
688800,科技,4
688779,科技,4
688775,科技,0
688766,科技,0
688739,消费,3
688729,科技,4
688726,科技,4
688718,周期资源,4
688717,科技,0
688716,周期资源,0
688701,公用事业,0
688698,制造,0
688691,科技,4
688686,制造,0
688685,科技,0
688683,科技,4
688680,科技,4
688652,科技,4
688648,制造,0
688613,消费,0
688598,周期资源,4
688588,科技,0
688575,消费,3
688571,周期资源,4
688543,科技,0
688538,科技,3
688533,制造,3
688531,制造,0
688512,科技,4
688509,科技,0
688503,科技,0
688496,科技,0
688480,公用事业,4
688468,消费,0
688459,制造,0
688435,科技,0
688433,制造,3
688432,科技,4
688429,科技,0
688425,制造,0
688420,制造,3
688411,科技,0
688400,制造,0
688393,消费,0
688390,科技,0
688382,消费,0
688373,消费,0
688372,科技,0
688361,科技,0
688356,消费,0
688332,科技,3
688331,消费,0
688320,制造,0
688314,消费,3
688310,制造,0
688298,消费,0
688296,科技,0
688295,周期资源,4
688292,科技,0
688288,科技,0
688280,制造,0
688279,科技,0
688278,消费,0
688277,消费,0
688271,消费,0
688268,科技,4
688266,消费,0
688246,科技,0
688244,科技,0
688234,科技,0
688232,科技,0
688226,公用事业,0
688222,消费,0
688210,科技,0
688200,科技,0
688193,消费,0
688191,公用事业,4
688185,消费,0
688183,科技,4
688178,公用事业,0
688172,科技,0
688167,科技,3
688162,制造,3
688147,科技,0
688143,科技,0
688137,消费,0
688136,消费,3
688135,科技,0
688132,科技,0
688130,科技,0
688122,科技,0
688119,周期资源,3
688108,消费,0
688107,科技,0
688101,公用事业,0
688100,科技,4
688099,科技,0
688096,公用事业,3
688095,科技,0
688069,公用事业,0
688067,消费,0
688062,消费,0
688056,制造,0
688049,科技,0
688047,科技,0
688039,科技,0
688038,科技,0
688028,制造,0
688019,科技,0
688013,消费,0
605599,消费,0
605580,公用事业,3
605577,消费,0
605398,科技,0
605389,制造,0
605388,消费,3
605377,制造,3
605376,周期资源,4
605336,制造,0
605298,制造,0
605277,科技,4
605268,制造,3
605222,公用事业,3
605199,消费,3
605186,制造,3
605180,制造,0
605178,公用事业,3
605167,公用事业,0
605133,制造,3
605118,科技,0
605099,制造,0
605028,公用事业,0
603990,科技,0
603985,科技,0
603977,周期资源,4
603937,周期资源,4
603933,科技,0
603928,周期资源,4
603926,制造,3
603922,制造,3
603920,科技,0
603899,消费,3
603896,消费,0
603888,消费,3
603868,制造,3
603866,消费,3
603855,制造,3
603839,消费,0
603838,制造,3
603819,制造,0
603803,科技,0
603797,公用事业,3
